SNo;Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap;Rank
8466;Binance Coin;BNB;17/04/2020;15.94;15.35;15.7;15.74;396448352.00;2447383046;4
8467;Binance Coin;BNB;18/04/2020;16.72;15.73;15.75;16.59;479760692.00;2580847660;4
8468;Binance Coin;BNB;19/04/2020;16.71;16.1;16.61;16.14;402957217.00;2510351930;4
8469;Binance Coin;BNB;20/04/2020;16.46;15.01;16.14;15.09;398870343.00;2346334037;4
8470;Binance Coin;BNB;21/04/2020;15.49;14.88;15.06;15.21;390367736.00;2365055829;4
8471;Binance Coin;BNB;22/04/2020;15.85;15.02;15.2;15.69;395820106.00;2440862572;4
8472;Binance Coin;BNB;23/04/2020;16.15;15.53;15.7;16.01;446947832.00;2489553066;4
8473;Binance Coin;BNB;24/04/2020;16.32;15.89;15.99;16.02;375266800.00;2491141137;4
8474;Binance Coin;BNB;25/04/2020;16.42;15.96;16.01;16.31;362345240.00;2536091111;4
8475;Binance Coin;BNB;26/04/2020;16.48;16.2;16.3;16.38;400076436.00;2548277411;4
8476;Binance Coin;BNB;27/04/2020;16.66;16.21;16.43;16.46;389838383.00;2560634167;4
8477;Binance Coin;BNB;28/04/2020;16.57;16.28;16.45;16.44;361059754.00;2557690119;4
8478;Binance Coin;BNB;29/04/2020;17.55;16.37;16.45;17.49;463165164.00;2720924144;4
8479;Binance Coin;BNB;30/04/2020;18.13;16.78;17.45;17.03;498015944.00;2649408578;4
8480;Binance Coin;BNB;1/05/2020;17.89;17.03;17.05;17.56;453439052.00;2732001168;4
8481;Binance Coin;BNB;2/05/2020;17.63;17.41;17.55;17.58;393955300.00;2735098062;4
8482;Binance Coin;BNB;3/05/2020;17.8;17.03;17.58;17.13;381109061.00;2663768293;4
8483;Binance Coin;BNB;4/05/2020;17.36;16.46;17.14;17.1;390548947.00;2659795202;4
8484;Binance Coin;BNB;5/05/2020;17.32;16.73;17.09;16.92;358987881.00;2631646244;4
8485;Binance Coin;BNB;6/05/2020;17.16;16.66;16.91;16.66;364717662.00;2590782069;4
8486;Binance Coin;BNB;7/05/2020;17.29;16.35;16.66;17.01;414976837.00;2646177022;4
8487;Binance Coin;BNB;8/05/2020;17.44;16.91;17.02;17.24;382131707.00;2681682517;4
8488;Binance Coin;BNB;9/05/2020;17.48;16.89;17.22;16.94;365221789.00;2634163527;4
8489;Binance Coin;BNB;10/05/2020;16.94;14.72;16.94;15.3;436166815.00;2379038126;4
8490;Binance Coin;BNB;11/05/2020;15.49;14.28;15.34;15.1;404659513.00;2348222492;4
8491;Binance Coin;BNB;12/05/2020;16.16;14.99;15.12;15.74;394508013.00;2448311765;4
8492;Binance Coin;BNB;13/05/2020;16.25;15.72;15.74;16.14;359517914.00;2510187961;4
8493;Binance Coin;BNB;14/05/2020;16.54;15.92;16.14;16.36;388231861.00;2544238407;4
8494;Binance Coin;BNB;15/05/2020;16.45;15.65;16.35;15.75;340889408.00;2450383625;4
8495;Binance Coin;BNB;16/05/2020;16.23;15.65;15.75;16.05;339913391.00;2496641247;4
8496;Binance Coin;BNB;17/05/2020;16.48;16.03;16.03;16.31;329675187.00;2537526373;4
8497;Binance Coin;BNB;18/05/2020;16.84;16.28;16.32;16.64;337613743.00;2587549865;4
8498;Binance Coin;BNB;19/05/2020;17.15;16.37;16.64;17.15;351679092.00;2668180081;4
8499;Binance Coin;BNB;20/05/2020;17.32;16.66;17.14;16.89;305581860.00;2626708056;4
8500;Binance Coin;BNB;21/05/2020;17.04;15.79;16.89;16.12;283593221.00;2507622080;4
8501;Binance Coin;BNB;22/05/2020;16.85;15.98;16.13;16.64;308017283.00;2588067684;4
8502;Binance Coin;BNB;23/05/2020;16.83;16.36;16.63;16.59;281071630.00;2580073085;4
8503;Binance Coin;BNB;24/05/2020;16.79;16.08;16.58;16.08;250849075.00;2501565035;4
8504;Binance Coin;BNB;25/05/2020;16.42;15.96;16.07;16.4;295250983.00;2550943106;4
8505;Binance Coin;BNB;26/05/2020;16.49;16.05;16.41;16.21;264787793.00;2521646463;4
8506;Binance Coin;BNB;27/05/2020;16.56;16.18;16.21;16.49;289787288.00;2565311105;4
8507;Binance Coin;BNB;28/05/2020;17.12;16.47;16.5;17.06;307231707.00;2653353544;4
8508;Binance Coin;BNB;29/05/2020;17.23;16.72;17.08;17.04;302410995.00;2650598907;4
8509;Binance Coin;BNB;30/05/2020;17.76;16.96;17.04;17.74;330991078.00;2759752874;4
8510;Binance Coin;BNB;31/05/2020;18.11;16.92;17.74;17.04;306613468.00;2650418986;4
8511;Binance Coin;BNB;1/06/2020;18;17.01;17.07;17.91;343444957.00;2786431039;4
8512;Binance Coin;BNB;2/06/2020;18.16;16.9;17.92;17.24;285916007.00;2681344663;4
8513;Binance Coin;BNB;3/06/2020;17.62;17.1;17.23;17.55;278598569.00;2728954685;4
8514;Binance Coin;BNB;4/06/2020;17.65;17.14;17.55;17.57;251564500.00;2732138446;4
8515;Binance Coin;BNB;5/06/2020;17.9;17.49;17.57;17.69;264892611.00;2751255650;4
8516;Binance Coin;BNB;6/06/2020;17.91;17.53;17.69;17.54;247410758.00;2727481713;4
8517;Binance Coin;BNB;7/06/2020;17.65;16.96;17.54;17.45;229571456.00;2713654465;4
8518;Binance Coin;BNB;8/06/2020;17.56;17.29;17.45;17.39;201873195.00;2705254792;4
8519;Binance Coin;BNB;9/06/2020;17.48;17.25;17.4;17.44;203076335.00;2711841300;4
8520;Binance Coin;BNB;10/06/2020;17.5;17.26;17.44;17.41;218805704.00;2707966985;4
8521;Binance Coin;BNB;11/06/2020;17.52;16.21;17.41;16.31;214293278.00;2536636730;4
8522;Binance Coin;BNB;12/06/2020;16.78;16.16;16.29;16.67;220884223.00;2592663212;4
8523;Binance Coin;BNB;13/06/2020;16.84;16.54;16.68;16.82;217773557.00;2616708430;4
8524;Binance Coin;BNB;14/06/2020;16.87;16.55;16.83;16.66;197988813.00;2590657273;4
8525;Binance Coin;BNB;15/06/2020;16.68;15.63;16.66;16.38;205913863.00;2548438215;4
8526;Binance Coin;BNB;16/06/2020;16.62;16.24;16.39;16.42;197512179.00;2554217172;4
8527;Binance Coin;BNB;17/06/2020;16.61;16.11;16.42;16.4;190623459.00;2551197615;4
8528;Binance Coin;BNB;18/06/2020;16.53;15.98;16.4;16.21;176409002.00;2521030877;4
8529;Binance Coin;BNB;19/06/2020;16.29;15.9;16.21;15.91;160670035.00;2474135854;4
8530;Binance Coin;BNB;20/06/2020;16.14;15.81;15.91;16.05;158722069.00;2495984577;4
8531;Binance Coin;BNB;21/06/2020;16.25;15.98;16.04;16;151504787.00;2488778109;4
8532;Binance Coin;BNB;22/06/2020;16.48;16;16;16.48;181943736.00;2562512331;4
8533;Binance Coin;BNB;23/06/2020;16.5;16.26;16.47;16.42;165960947.00;2554312286;4
8534;Binance Coin;BNB;24/06/2020;16.66;16.01;16.43;16.03;168239834.00;2492749448;4
8535;Binance Coin;BNB;25/06/2020;16.05;15.63;16.02;15.92;143049947.00;2476565795;4
8536;Binance Coin;BNB;26/06/2020;16.01;15.64;15.92;15.75;136599245.00;2449582459;4
8537;Binance Coin;BNB;27/06/2020;15.9;15.08;15.75;15.19;152435707.00;2361864421;4
8538;Binance Coin;BNB;28/06/2020;15.51;15.02;15.19;15.42;159817886.00;2398389948;4
8539;Binance Coin;BNB;29/06/2020;15.6;15.23;15.41;15.51;167963469.00;2411632830;4
8540;Binance Coin;BNB;30/06/2020;15.59;15.32;15.49;15.41;151582461.00;2397377912;4
8541;Binance Coin;BNB;1/07/2020;15.88;15.35;15.41;15.83;159837869.00;2462062195;4
8542;Binance Coin;BNB;2/07/2020;15.96;15.25;15.82;15.54;151839908.00;2416805639;4
8543;Binance Coin;BNB;3/07/2020;15.59;15.27;15.53;15.29;138591561.00;2378461574;4
8544;Binance Coin;BNB;4/07/2020;15.6;15.26;15.29;15.55;146316736.00;2419059513;4
8545;Binance Coin;BNB;5/07/2020;15.63;15.25;15.55;15.48;138494209.00;2407743527;4
8546;Binance Coin;BNB;6/07/2020;16.33;15.45;15.48;16.3;172232440.00;2534746174;4
8547;Binance Coin;BNB;7/07/2020;16.86;16.02;16.28;16.77;196296818.00;2608385875;4
8548;Binance Coin;BNB;8/07/2020;17.41;16.66;16.77;17.23;212383912.00;2679533358;4
8549;Binance Coin;BNB;9/07/2020;17.44;16.57;17.24;16.88;179705380.00;2626216970;4
8550;Binance Coin;BNB;10/07/2020;17.29;16.41;16.88;17.26;174222029.00;2684758451;4
8551;Binance Coin;BNB;11/07/2020;17.66;17.08;17.28;17.62;186743534.00;2740895828;4
8552;Binance Coin;BNB;12/07/2020;18.58;17.61;17.63;18.24;224015851.00;2836452254;4
8553;Binance Coin;BNB;13/07/2020;18.89;17.77;18.24;18.41;261690866.00;2863363146;4
8554;Binance Coin;BNB;14/07/2020;18.71;17.93;18.39;18.08;203397123.00;2812556212;4
8555;Binance Coin;BNB;15/07/2020;18.13;17.45;18.07;17.59;169152686.00;2736079874;4
8556;Binance Coin;BNB;16/07/2020;17.7;16.73;17.59;17.14;191191483.00;2666496807;4
8557;Binance Coin;BNB;17/07/2020;17.48;17.02;17.14;17.08;153498441.00;2657340752;4
8558;Binance Coin;BNB;18/07/2020;17.27;16.86;17.09;17.13;149402466.00;2663832333;4
8559;Binance Coin;BNB;19/07/2020;18.05;16.91;17.13;17.96;213342724.00;2792782900;4
8560;Binance Coin;BNB;20/07/2020;18.27;17.33;17.96;17.48;203143854.00;2719514136;4
8561;Binance Coin;BNB;21/07/2020;17.95;17.41;17.47;17.72;187854335.00;2755396351;4
8562;Binance Coin;BNB;22/07/2020;18.09;17.51;17.71;18.09;191909868.00;2612590172;4
8563;Binance Coin;BNB;23/07/2020;18.69;18.07;18.09;18.67;220207323.00;2696546476;4
8564;Binance Coin;BNB;24/07/2020;19.52;18.27;18.68;19.15;248008823.00;2765804467;4
8565;Binance Coin;BNB;25/07/2020;19.98;19.14;19.16;19.78;257057785.00;2855845136;4
8566;Binance Coin;BNB;26/07/2020;20.23;19.36;19.75;19.52;248581857.00;2818964003;4
8567;Binance Coin;BNB;27/07/2020;20.14;18.55;19.52;19.62;325386899.00;2833304045;4
8568;Binance Coin;BNB;28/07/2020;20.61;19.5;19.7;20.17;284409544.00;2913192575;4
8569;Binance Coin;BNB;29/07/2020;20.37;19.86;20.19;19.9;204440432.00;2873053585;4
8570;Binance Coin;BNB;30/07/2020;20.07;19.57;19.9;20.01;200436410.00;2889970345;4
8571;Binance Coin;BNB;31/07/2020;20.84;19.93;19.99;20.67;229781080.00;2984615923;4
8572;Binance Coin;BNB;1/08/2020;21.62;20.6;20.67;21.53;264604008.00;3109135453;4
8573;Binance Coin;BNB;2/08/2020;22.02;19.97;21.55;20.94;299350525.00;3024579087;4
8574;Binance Coin;BNB;3/08/2020;22.38;20.77;20.94;22.06;265708949.00;3184888210;4
8575;Binance Coin;BNB;4/08/2020;22.4;21.62;22.05;22.28;241931958.00;3217751647;4
8576;Binance Coin;BNB;5/08/2020;23.56;22.14;22.29;23.34;344072749.00;3369902765;4
8577;Binance Coin;BNB;6/08/2020;23.33;22.57;23.32;22.71;246554661.00;3279135270;4
8578;Binance Coin;BNB;7/08/2020;23;21.63;22.72;22.31;326409994.00;3221933538;4
8579;Binance Coin;BNB;8/08/2020;22.94;21.94;22.31;22.88;236392685.00;3303750487;4
8580;Binance Coin;BNB;9/08/2020;22.94;22.16;22.89;22.48;216694610.00;3245614914;4
8581;Binance Coin;BNB;10/08/2020;22.84;22.28;22.48;22.61;239664308.00;3265580526;4
8582;Binance Coin;BNB;11/08/2020;22.76;20.84;22.63;21.26;310846749.00;3069642355;4
8583;Binance Coin;BNB;12/08/2020;22.19;20.62;21.31;21.75;256078366.00;3141052138;4
8584;Binance Coin;BNB;13/08/2020;22.15;20.75;21.77;22.08;299981376.00;3187853579;4
8585;Binance Coin;BNB;14/08/2020;23.36;21.7;22.08;23.07;357386067.00;3331429313;4
8586;Binance Coin;BNB;15/08/2020;23.88;22.9;23.09;23.02;269746412.00;3324491959;4
8587;Binance Coin;BNB;16/08/2020;23.77;22.83;23.05;23.5;271264839.00;3393135634;4
